Model,makespan (over all),avg abs start deviation,avg duration deviation,kendall_sequ_sim,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4487,550,fcfs
CausalContinousModel,-1.0,11.3,0.0,0.995,25.667,1.0,1.0,0.985,4487,550,fcfs
AverageOperationModel,-1.0,6.6,-0.1,0.997,25.0,1.0,1.0,0.99,4487,550,fcfs
LogNormalDistributionModel,4.0,7.6,-0.2,0.998,20.333,1.0,1.0,0.994,4487,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4488,550,fcfs
CausalContinousModel,-2.0,9.9,0.1,0.997,18.667,1.0,1.0,0.991,4488,550,fcfs
AverageOperationModel,-7.0,5.5,0.1,0.999,18.0,1.0,1.0,0.996,4488,550,fcfs
LogNormalDistributionModel,-1.0,5.8,0.1,0.998,17.333,1.0,1.0,0.995,4488,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4489,550,fcfs
CausalContinousModel,4.0,7.4,0.2,0.998,22.0,1.0,1.0,0.993,4489,550,fcfs
AverageOperationModel,-0.0,4.9,-0.1,0.999,14.667,1.0,1.0,0.997,4489,550,fcfs
LogNormalDistributionModel,0.0,3.8,0.1,0.999,14.667,1.0,1.0,0.996,4489,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4490,550,fcfs
CausalContinousModel,2.0,4.1,-0.1,0.999,10.667,1.0,1.0,0.998,4490,550,fcfs
AverageOperationModel,-5.0,5.9,-0.1,0.999,9.0,1.0,1.0,0.998,4490,550,fcfs
LogNormalDistributionModel,-2.0,5.2,-0.2,0.999,15.0,1.0,1.0,0.996,4490,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4491,550,fcfs
CausalContinousModel,9.0,6.5,0.1,0.999,16.667,1.0,1.0,0.996,4491,550,fcfs
AverageOperationModel,-0.0,6.3,0.0,0.999,16.667,1.0,1.0,0.996,4491,550,fcfs
LogNormalDistributionModel,10.0,7.5,0.0,0.998,22.0,1.0,1.0,0.994,4491,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4492,550,fcfs
CausalContinousModel,7.0,11.5,-0.7,0.998,17.333,1.0,1.0,0.995,4492,550,fcfs
AverageOperationModel,-1.0,9.4,-0.4,0.999,10.333,1.0,1.0,0.998,4492,550,fcfs
LogNormalDistributionModel,-1.0,3.8,-0.5,0.999,15.667,1.0,1.0,0.996,4492,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4493,550,fcfs
CausalContinousModel,0.0,4.1,-0.1,0.998,19.667,1.0,1.0,0.995,4493,550,fcfs
AverageOperationModel,-2.0,5.6,-0.1,0.998,19.0,1.0,1.0,0.994,4493,550,fcfs
LogNormalDistributionModel,0.0,5.3,-0.1,0.998,19.667,1.0,1.0,0.994,4493,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4494,550,fcfs
CausalContinousModel,1.0,4.4,-0.1,0.999,14.0,1.0,1.0,0.997,4494,550,fcfs
AverageOperationModel,-1.0,4.1,0.0,0.999,12.667,1.0,1.0,0.997,4494,550,fcfs
