Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,overall_tool_changes,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,35.963,1547,550,fcfs
CausalContinousModel,12.0,10.1,0.3,7.333,0,0,22,35.963,1547,550,fcfs
AverageOperationModel,24.0,12.0,0.2,5.667,0,0,17,35.52,1547,550,fcfs
LogNormalDistributionModel,8.0,12.7,0.1,21.333,0,0,64,35.073,1547,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,34.187,1548,550,fcfs
CausalContinousModel,3.0,14.4,0.5,18.0,0,0,54,35.073,1548,550,fcfs
AverageOperationModel,6.0,15.5,0.4,22.0,0,0,66,35.963,1548,550,fcfs
LogNormalDistributionModel,14.0,17.7,0.7,18.333,0,0,55,35.52,1548,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,35.073,1549,550,fcfs
CausalContinousModel,20.0,15.7,0.1,17.0,0,0,51,34.187,1549,550,fcfs
AverageOperationModel,10.0,11.1,0.0,6.667,0,0,20,35.52,1549,550,fcfs
LogNormalDistributionModel,7.0,13.6,0.2,17.333,0,0,52,36.853,1549,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,34.63,1550,550,fcfs
CausalContinousModel,23.0,16.1,0.5,18.667,0,0,56,35.963,1550,550,fcfs
AverageOperationModel,5.0,7.3,0.1,15.333,0,0,46,35.52,1550,550,fcfs
LogNormalDistributionModel,9.0,10.2,0.0,19.0,0,0,57,35.963,1550,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,34.63,1551,550,fcfs
CausalContinousModel,15.0,15.1,0.4,20.0,0,0,60,36.853,1551,550,fcfs
AverageOperationModel,16.0,12.6,0.3,22.0,0,0,66,35.52,1551,550,fcfs
LogNormalDistributionModel,16.0,10.5,0.8,13.667,0,0,41,35.073,1551,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,35.52,1552,550,fcfs
CausalContinousModel,18.0,14.1,0.6,21.667,0,0,65,34.187,1552,550,fcfs
AverageOperationModel,4.0,6.5,0.3,9.333,0,0,28,35.963,1552,550,fcfs
LogNormalDistributionModel,1.0,9.4,0.6,12.0,0,0,36,35.52,1552,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,33.74,1553,550,fcfs
CausalContinousModel,24.0,14.4,0.1,15.667,0,0,47,35.963,1553,550,fcfs
AverageOperationModel,9.0,5.8,0.1,12.667,0,0,38,34.187,1553,550,fcfs
LogNormalDistributionModel,7.0,10.7,0.1,19.333,0,0,58,34.63,1553,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,35.963,1554,550,fcfs
CausalContinousModel,14.0,9.9,0.0,18.0,0,0,54,34.63,1554,550,fcfs
AverageOperationModel,11.0,10.1,0.3,5.0,0,0,15,35.52,1554,550,fcfs
LogNormalDistributionModel,13.0,10.2,0.6,16.333,0,0,49,35.52,1554,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,35.073,1555,550,fcfs
CausalContinousModel,7.0,8.8,0.3,14.667,0,0,44,34.187,1555,550,fcfs
