Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,overall_tool_changes,seed,instance,priority_rule
TruthSmallModel,0.0,0.0,0.0,0.0,0,0,0,46.253,154,550,dynamic
CausalSmallModel,-1.0,9.2,-0.1,14.667,21,23,0,45.833,154,550,dynamic
AverageOperationModel,-8.0,19.1,0.0,13.333,15,25,0,46.347,154,550,dynamic
LogNormalDistributionModel,-2.0,5.6,0.0,10.0,16,14,0,46.003,154,550,dynamic
TruthSmallModel,0.0,0.0,0.0,0.0,0,0,0,47.87,155,550,dynamic
CausalSmallModel,-6.0,14.6,0.0,27.667,0,58,25,47.413,155,550,dynamic
AverageOperationModel,-23.0,30.2,-0.1,31.333,0,65,29,48.04,155,550,dynamic
LogNormalDistributionModel,1.0,9.7,-0.1,28.0,0,57,27,47.817,155,550,dynamic
TruthSmallModel,0.0,0.0,0.0,0.0,0,0,0,56.01,156,550,dynamic
CausalSmallModel,7.0,21.9,0.2,41.0,74,49,0,55.79,156,550,dynamic
AverageOperationModel,-9.0,24.1,0.1,32.333,71,26,0,56.123,156,550,dynamic
LogNormalDistributionModel,7.0,10.8,0.2,15.667,37,10,0,55.087,156,550,dynamic
TruthSmallModel,0.0,0.0,0.0,0.0,0,0,0,39.903,157,550,dynamic
CausalSmallModel,1.0,6.1,0.1,3.333,10,0,0,39.703,157,550,dynamic
AverageOperationModel,-16.0,32.7,0.0,0.667,2,0,0,39.903,157,550,dynamic
LogNormalDistributionModel,-6.0,7.8,0.0,1.333,4,0,0,39.703,157,550,dynamic
TruthSmallModel,0.0,0.0,0.0,0.0,0,0,0,48.177,158,550,dynamic
CausalSmallModel,7.0,17.1,0.3,4.667,0,2,12,48.737,158,550,dynamic
AverageOperationModel,-7.0,21.2,0.1,6.667,0,11,9,48.377,158,550,dynamic
LogNormalDistributionModel,2.0,7.6,0.1,8.333,0,12,13,48.78,158,550,dynamic
TruthSmallModel,0.0,0.0,0.0,0.0,0,0,0,37.483,159,550,dynamic
CausalSmallModel,3.0,6.2,0.1,0.0,0,0,0,37.483,159,550,dynamic
AverageOperationModel,-7.0,22.7,0.1,0.0,0,0,0,37.483,159,550,dynamic
LogNormalDistributionModel,-4.0,6.8,0.1,0.0,0,0,0,37.483,159,550,dynamic
TruthSmallModel,0.0,0.0,0.0,0.0,0,0,0,49.993,160,550,dynamic
CausalSmallModel,-5.0,7.7,-0.1,17.667,23,30,0,49.567,160,550,dynamic
AverageOperationModel,-10.0,12.5,0.0,12.667,17,21,0,49.78,160,550,dynamic
LogNormalDistributionModel,-2.0,11.0,0.0,6.333,4,15,0,49.877,160,550,dynamic
TruthSmallModel,0.0,0.0,0.0,0.0,0,0,0,49.33,161,550,dynamic
CausalSmallModel,-5.0,16.9,0.0,17.333,32,5,15,48.973,161,550,dynamic
AverageOperationModel,-9.0,19.4,-0.1,10.0,14,6,10,49.0,161,550,dynamic
LogNormalDistributionModel,-3.0,12.8,-0.2,16.333,33,5,11,49.083,161,550,dynamic
TruthSmallModel,0.0,0.0,0.0,0.0,0,0,0,59.923,162,550,dynamic
CausalSmallModel,-8.0,9.7,0.1,21.667,0,0,65,59.227,162,550,dynamic
AverageOperationModel,-27.0,41.0,0.1,9.0,0,0,27,59.6,162,550,dynamic
LogNormalDistributionModel,-7.0,22.9,0.0,19.667,0,0,59,59.87,162,550,dynamic
TruthSmallModel,0.0,0.0,0.0,0.0,0,0,0,45.653,163,550,dynamic
CausalSmallModel,9.0,17.3,0.1,19.333,0,0,58,45.873,163,550,dynamic
AverageOperationModel,-10.0,24.3,0.0,17.0,0,0,51,45.873,163,550,dynamic
LogNormalDistributionModel,-7.0,11.3,-0.0,14.0,0,0,42,45.873,163,550,dynamic
TruthSmallModel,0.0,0.0,0.0,0.0,0,0,0,50.3,164,550,dynamic
CausalSmallModel,-1.0,8.5,0.1,7.667,23,0,0,50.097,164,550,dynamic
AverageOperationModel,1.0,12.1,0.0,7.667,23,0,0,50.507,164,550,dynamic
