job_id,product_type,operation_id,machine,tool,start_time,duration,plan_duration,end_time
job3,p1,1,a1_0,1,0.0,10.0,20.0,10.0
job3,p1,2,a3_0,1,10.0,8.0,10.0,18.0
job4,p3,1,a1_0,2,10.0,13.0,20.0,23.0
job4,p3,2,a3_0,2,33.0,6.0,10.0,39.0
job5,p4,1,a2_0,2,0.0,16.0,20.0,16.0
job5,p4,2,a3_0,1,18.0,15.0,10.0,33.0
job6,p1,1,a1_0,1,23.0,19.0,20.0,42.0
job6,p1,2,a3_0,1,42.0,6.0,10.0,48.0
job7,p3,1,a1_0,2,42.0,15.0,20.0,57.0
job7,p3,2,a3_0,2,64.0,8.0,10.0,72.0
job8,p4,1,a2_0,2,16.0,27.0,20.0,43.0
job8,p4,2,a3_0,1,48.0,16.0,10.0,64.0
job9,p2,1,a2_0,1,43.0,15.0,20.0,58.0
job9,p2,2,a3_0,2,72.0,13.0,10.0,85.0
job10,p1,1,a1_0,1,57.0,10.0,20.0,67.0
job10,p1,2,a3_0,1,85.0,8.0,10.0,93.0
job11,p4,1,a2_0,2,58.0,13.0,20.0,71.0
job11,p4,2,a3_0,1,93.0,11.0,10.0,104.0
job12,p2,1,a2_0,1,71.0,12.0,20.0,83.0
job12,p2,2,a3_0,2,110.0,12.0,10.0,122.0
job13,p4,1,a2_0,2,83.0,16.0,20.0,99.0
job13,p4,2,a3_0,1,131.0,13.0,10.0,144.0
job14,p3,1,a1_0,2,67.0,12.0,20.0,79.0
job14,p3,2,a3_0,2,104.0,6.0,10.0,110.0
job15,p2,1,a2_0,1,99.0,14.0,20.0,113.0
job15,p2,2,a3_0,2,144.0,8.0,10.0,152.0
job16,p4,1,a2_0,2,113.0,15.0,20.0,128.0
job16,p4,2,a3_0,1,157.0,14.0,10.0,171.0
job17,p4,1,a2_0,2,128.0,27.0,20.0,155.0
job17,p4,2,a3_0,1,183.0,14.0,10.0,197.0
job18,p1,1,a1_0,1,79.0,16.0,20.0,95.0
job18,p1,2,a3_0,1,122.0,9.0,10.0,131.0
job19,p1,1,a1_0,1,95.0,28.0,20.0,123.0
job19,p1,2,a3_0,1,152.0,5.0,10.0,157.0
job20,p4,1,a2_0,2,155.0,25.0,20.0,180.0
job20,p4,2,a3_0,1,205.0,6.0,10.0,211.0
job21,p2,1,a2_0,1,180.0,14.0,20.0,194.0
job21,p2,2,a3_0,2,225.0,7.0,10.0,232.0
job22,p1,1,a1_0,1,123.0,27.0,20.0,150.0
job22,p1,2,a3_0,1,171.0,12.0,10.0,183.0
job23,p4,1,a2_0,2,194.0,13.0,20.0,207.0
job23,p4,2,a3_0,1,246.0,5.0,10.0,251.0
job24,p3,1,a1_0,2,150.0,18.0,20.0,168.0
job24,p3,2,a3_0,2,197.0,8.0,10.0,205.0
job25,p4,1,a2_0,2,207.0,25.0,20.0,232.0
job25,p4,2,a3_0,1,273.0,7.0,10.0,280.0
job26,p1,1,a1_0,1,168.0,14.0,20.0,182.0
job26,p1,2,a3_0,1,211.0,14.0,10.0,225.0
job27,p3,1,a1_0,2,182.0,13.0,20.0,195.0
job27,p3,2,a3_0,2,232.0,14.0,10.0,246.0
job28,p1,1,a1_0,1,195.0,12.0,20.0,207.0
job28,p1,2,a3_0,1,251.0,13.0,10.0,264.0
job29,p4,1,a2_0,2,232.0,23.0,20.0,255.0
job29,p4,2,a3_0,1,286.0,9.0,10.0,295.0
job30,p2,1,a2_0,1,255.0,12.0,20.0,267.0
job30,p2,2,a3_0,2,309.0,7.0,10.0,316.0
job31,p3,1,a1_0,2,207.0,12.0,20.0,219.0
job31,p3,2,a3_0,2,264.0,9.0,10.0,273.0
job32,p2,1,a2_0,1,267.0,29.0,20.0,296.0
job32,p2,2,a3_0,2,322.0,6.0,10.0,328.0
job33,p4,1,a2_0,2,296.0,14.0,20.0,310.0
job33,p4,2,a3_0,1,337.0,14.0,10.0,351.0
job34,p4,1,a2_0,2,310.0,27.0,20.0,337.0
job34,p4,2,a3_0,1,365.0,14.0,10.0,379.0
job35,p2,1,a2_0,1,337.0,13.0,20.0,350.0
job35,p2,2,a3_0,2,379.0,5.0,10.0,384.0
job36,p4,1,a2_0,2,350.0,10.0,20.0,360.0
job36,p4,2,a3_0,1,384.0,6.0,10.0,390.0
job37,p2,1,a2_0,1,360.0,18.0,20.0,378.0
job37,p2,2,a3_0,2,401.0,7.0,10.0,408.0
job38,p3,1,a1_0,2,219.0,25.0,20.0,244.0
job38,p3,2,a3_0,2,280.0,6.0,10.0,286.0
job39,p1,1,a1_0,1,244.0,15.0,20.0,259.0
job39,p1,2,a3_0,1,295.0,14.0,10.0,309.0
job40,p1,1,a1_0,1,259.0,25.0,20.0,284.0
job40,p1,2,a3_0,1,316.0,6.0,10.0,322.0
job41,p1,1,a1_0,1,284.0,25.0,20.0,309.0
job41,p1,2,a3_0,1,328.0,9.0,10.0,337.0
job42,p2,1,a2_0,1,378.0,29.0,20.0,407.0
job42,p2,2,a3_0,2,417.0,9.0,10.0,426.0
job43,p2,1,a2_0,1,407.0,26.0,20.0,433.0
job43,p2,2,a3_0,2,433.0,4.0,10.0,437.0
job44,p1,1,a1_0,1,309.0,24.0,20.0,333.0
job44,p1,2,a3_0,1,351.0,14.0,10.0,365.0
job45,p4,1,a2_0,2,433.0,14.0,20.0,447.0
job45,p4,2,a3_0,1,447.0,7.0,10.0,454.0
job46,p2,1,a2_0,1,447.0,12.0,20.0,459.0
job46,p2,2,a3_0,2,459.0,6.0,10.0,465.0
job47,p1,1,a1_0,1,333.0,30.0,20.0,363.0
job47,p1,2,a3_0,1,390.0,11.0,10.0,401.0
job48,p4,1,a2_0,2,459.0,17.0,20.0,476.0
job48,p4,2,a3_0,1,476.0,9.0,10.0,485.0
job49,p2,1,a2_0,1,476.0,7.0,20.0,483.0
job49,p2,2,a3_0,2,485.0,7.0,10.0,492.0
job50,p1,1,a1_0,1,363.0,28.0,20.0,391.0
job50,p1,2,a3_0,1,408.0,9.0,10.0,417.0
job51,p1,1,a1_0,1,391.0,27.0,20.0,418.0
job51,p1,2,a3_0,1,426.0,7.0,10.0,433.0
job52,p2,1,a2_0,1,483.0,23.0,20.0,506.0
job52,p2,2,a3_0,2,506.0,13.0,10.0,519.0
